REGIAO:;N
UF:;PA
ESTACAO:;BELEM
CODIGO (WMO):;A201
LATITUDE:;-1,411228
LONGITUDE:;-48,439512
ALTITUDE:;21,17
DATA DE FUNDACAO:;20/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1009,2;1009,2;1008,6;;24,9;23,6;25,5;24,8;24;23,5;93;91;92;122;2,8;,2;
2023/01/01;0100 UTC;0;1010,2;1010,2;1009,2;,3;25;23,8;25,1;24,9;23,9;23,5;93;92;93;147;1,5;,1;
2023/01/01;0200 UTC;0;1009,7;1010,3;1009,7;;24,6;23,5;25;24,6;23,8;23,4;94;92;94;114;1,7;,1;
2023/01/01;0300 UTC;0;1009,1;1009,7;1009,1;;24,5;23,7;24,6;24,5;23,7;23,4;95;94;95;142;2,4;0;
2023/01/01;0400 UTC;0;1008,5;1009,1;1008,5;;24,4;23,8;24,6;24,3;23,8;23,7;97;95;97;161;1,5;0;
2023/01/01;0500 UTC;0;1007,5;1008,5;1007,5;;24,2;23,8;24,4;24,2;23,9;23,7;97;97;97;141;1,6;,2;
2023/01/01;0600 UTC;0;1006,8;1007,5;1006,8;;24,2;23,8;24,2;24,1;23,8;23,7;98;97;98;156;1,5;0;
2023/01/01;0700 UTC;0;1006,8;1007;1006,8;;23,9;23,5;24,2;23,9;23,8;23,5;98;98;98;123;1;0;
2023/01/01;0800 UTC;0;1006,9;1006,9;1006,7;;24;23,6;24;23,9;23,7;23,5;98;98;98;117;1,2;0;
2023/01/01;0900 UTC;0;1007,3;1007,3;1006,9;;23,8;23,5;24;23,8;23,6;23,5;98;98;98;105;2,1;,1;
2023/01/01;1000 UTC;0;1008,4;1008,4;1007,3;84,7;24,3;23,7;24,3;23,8;23,7;23,4;98;97;97;122;2,3;,2;
2023/01/01;1100 UTC;0;1009,5;1009,5;1008,4;421,7;25,8;24,5;25,9;24,3;24,7;23,8;97;92;92;157;2,3;,5;
2023/01/01;1200 UTC;0;1010;1010;1009,5;877,6;28,1;24,8;28,6;25,7;25,7;24;93;80;82;100;4,3;1,8;
2023/01/01;1300 UTC;0;1010;1010,1;1009,9;1463,4;29,7;25,7;30,4;28,1;26,3;24,3;84;75;79;90;4,9;1,4;
2023/01/01;1400 UTC;0;1009,6;1010;1009,6;1326,1;30,3;24,2;31,1;28,3;26,1;24;80;69;70;110;5,5;1,5;
2023/01/01;1500 UTC;0;1009;1009,6;1009;2344,7;30,4;24,3;33;30,1;26,6;23,9;75;61;70;70;4,5;1;
2023/01/01;1600 UTC;,6;1007,7;1009;1007,7;2430,4;32,3;25,7;32,5;29,6;27,9;24,3;83;66;68;101;5;1,6;
2023/01/01;1700 UTC;0;1006,7;1007,7;1006,7;2403,7;30,7;24,8;32,5;30,2;25,9;23,4;73;62;71;115;6,1;1,7;
2023/01/01;1800 UTC;0;1006,2;1006,7;1005,8;2393,8;29,6;24,7;32,8;29,6;25,9;23,2;77;59;75;215;4,4;,8;
2023/01/01;1900 UTC;0;1006,1;1006,2;1005,5;437,4;27,9;23,2;29,6;27,1;24,6;22,4;78;70;76;358;7,7;1,2;
2023/01/01;2000 UTC;6,6;1006,1;1007;1006;297,4;24,4;23,7;27,9;23,9;23,9;22,5;96;75;96;115;8,4;,5;
2023/01/01;2100 UTC;0;1007,2;1007,2;1005,9;278,7;25,7;24,3;25,7;24,3;24,5;23,5;96;91;92;14;3,2;,8;
2023/01/01;2200 UTC;0;1007,7;1007,7;1007;13,5;25,8;23,8;25,9;25,6;24,3;23,7;92;88;89;3;4;,8;
2023/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0000 UTC;0;1009,1;1009,2;1008,5;2,1;25,9;23,9;25,9;25,6;24;23,8;91;89;89;23;3,5;,8;
2023/01/02;0100 UTC;0;1009,9;1009,9;1009,1;1,8;26;23,8;26,1;25,9;23,9;23,8;89;87;88;24;3,7;,4;
2023/01/02;0200 UTC;0;1009,8;1010,1;1009,8;;25,6;24,1;26;25,6;24,1;23,8;91;88;91;10;2,5;,2;
2023/01/02;0300 UTC;0;1010;1010,1;1009,8;;25,5;24;25,7;25,5;24,1;23,9;92;90;92;297;2,1;0;
2023/01/02;0400 UTC;0;1009,4;1010,1;1009,4;;25,2;23,9;25,5;25,2;24,1;23,9;93;91;93;17;1,1;0;
2023/01/02;0500 UTC;0;1008,7;1009,4;1008,7;;24,8;24,1;25,2;24,8;24,2;23,9;96;93;96;273;0;0;
2023/01/02;0600 UTC;0;1008,5;1008,7;1008,5;;24,5;24;24,9;24,4;24,2;23,9;97;95;97;151;0;0;
2023/01/02;0700 UTC;0;1008,1;1008,5;1008,1;;24,2;23,8;24,5;24,1;24;23,7;98;97;98;146;0;0;
2023/01/02;0800 UTC;0;1008,1;1008,2;1008,1;;24,1;23,8;24,2;24;23,9;23,6;98;98;98;41;0;0;
2023/01/02;0900 UTC;0;1008,3;1008,3;1008,1;;24;23,7;24,2;23,9;23,8;23,5;98;98;98;73;1,2;0;
2023/01/02;1000 UTC;0;1008,7;1008,7;1008,3;90,4;24,7;24,2;24,7;24;24,2;23,6;98;97;97;84;2,3;,2;
2023/01/02;1100 UTC;0;1009,2;1009,2;1008,7;438,8;27,9;24,8;27,9;24,7;24,9;24,1;97;83;83;56;4,3;,9;
2023/01/02;1200 UTC;0;1009,9;1009,9;1009,2;805,6;30,6;25,4;30,6;27,8;26;24,2;84;73;74;74;5,1;1,3;
2023/01/02;1300 UTC;0;1010,2;1010,3;1009,9;1336,4;30,6;24,9;30,6;28,3;25,5;24;79;71;72;71;6,8;1,4;
2023/01/02;1400 UTC;0;1010;1010,2;1009,9;2191,8;31,3;24;32,3;29,5;25,8;23,5;76;61;65;59;7,5;1,4;
2023/01/02;1500 UTC;0;1009,3;1010;1009,2;2689,4;32,9;23,4;33,7;30,8;25,8;23,2;69;58;58;77;6,1;2,4;
2023/01/02;1600 UTC;0;1008;1009,3;1007,9;2871,1;32;23,1;33,4;31,3;25,4;22,6;65;57;59;37;6,3;1,2;
2023/01/02;1700 UTC;0;1007,2;1008;1007;1625,9;28,9;25,3;33,4;28,5;25,4;22,6;81;56;81;348;6,5;1,5;
2023/01/02;1800 UTC;4,8;1006,6;1007,6;1006,6;1079,6;28,4;26,4;29,2;25;27,3;22,4;96;68;89;75;6,5;,8;
2023/01/02;1900 UTC;,6;1005,4;1006,6;1005,4;984,4;28;25,5;29,1;27,4;27,3;24,4;91;79;87;22;4,4;1,6;
2023/01/02;2000 UTC;0;1005,5;1005,7;1005,4;834,9;27,9;24,3;30,3;27,7;25,8;23,7;86;74;81;58;5,8;1,6;
2023/01/02;2100 UTC;0;1006;1006;1005,3;419,9;27,3;23,7;28,9;27,3;25,2;23,7;84;78;81;47;5,8;,3;
2023/01/02;2200 UTC;0;1006,9;1007;1006;14,3;26,5;23,6;27,3;26,5;23,8;23,4;84;80;84;15;3,6;,3;
2023/01/02;2300 UTC;0;1007,8;1007,8;1006,9;;26;23,9;26,5;26;23,9;23,5;88;83;88;30;3,3;,5;
2023/01/03;0000 UTC;0;1008,6;1008,7;1007,8;;26,1;24;26,2;26;24;23,8;88;87;88;43;3,4;,3;
2023/01/03;0100 UTC;0;1008,9;1008,9;1008,5;;25,9;24;26,2;25,9;24;23,9;89;87;89;33;4,5;,4;
2023/01/03;0200 UTC;0;1008,9;1009;1008,8;;25,5;23,9;26;25,5;23,9;23,8;91;89;91;45;3,5;,1;
2023/01/03;0300 UTC;0;1008,8;1009;1008,8;;25,3;23,8;25,5;25,2;23,9;23,7;92;91;92;35;3,2;,3;
2023/01/03;0400 UTC;0;1008,2;1008,8;1008,2;;25;23,6;25,3;25;23,8;23,6;92;91;92;69;2,6;,2;
2023/01/03;0500 UTC;0;1007,8;1008,2;1007,8;;24,4;23,5;25;24,4;23,7;23,5;95;92;95;82;2,6;,2;
2023/01/03;0600 UTC;0;1007,6;1007,9;1007,6;;24,1;23,4;24,4;24;23,6;23,3;96;95;96;86;2;,1;
2023/01/03;0700 UTC;0;1007,6;1007,7;1007,5;;23,9;23,2;24,1;23,9;23,4;23,2;96;96;96;113;1,9;,1;
2023/01/03;0800 UTC;0;1007,4;1007,6;1007,3;;23,7;23,2;23,9;23,7;23,3;23,1;97;96;97;72;2,3;,4;
2023/01/03;0900 UTC;0;1008,1;1008,1;1007,4;;23,6;23,2;23,7;23,5;23,2;23;97;97;97;132;2,3;0;
2023/01/03;1000 UTC;0;1008,7;1008,7;1008,1;106,2;24,3;23,8;24,3;23,5;23,8;23;97;97;97;99;1,9;,3;
2023/01/03;1100 UTC;0;1009,5;1009,5;1008,7;424,9;27,9;24,9;28;24,3;25;23,8;97;81;84;87;3,3;,9;
2023/01/03;1200 UTC;0;1010;1010,1;1009,5;548,4;28,7;24,3;29,5;27,9;25,4;23,8;84;76;77;57;5,1;1,9;
2023/01/03;1300 UTC;0;1010,1;1010,1;1009,9;1183,3;29,5;24,3;30,1;28,2;25,2;23,6;79;71;74;70;6,9;1,1;
2023/01/03;1400 UTC;0;1009,8;1010,1;1009,8;2083,5;32,3;25,1;32,9;28,9;25,6;23,5;77;62;66;93;5,9;2,6;
2023/01/03;1500 UTC;0;1009;1009,8;1009;2017;33,1;25,1;33,1;30,2;25,6;22,9;72;61;63;95;5,7;1,5;
2023/01/03;1600 UTC;0;1007,6;1009;1007,6;2964,7;32,8;24,4;34,1;31,2;25,9;23,2;67;55;62;113;5,4;2,2;
2023/01/03;1700 UTC;0;1006,4;1007,6;1006,4;3060,9;33,6;25,1;34,4;31;25,8;23,4;69;56;61;96;4,8;1,4;
2023/01/03;1800 UTC;2,6;1005,9;1006,9;1005,9;748,9;27,9;26,2;33,8;26,8;26,2;23,8;92;59;91;305;9,2;,2;
2023/01/03;1900 UTC;0;1005,1;1005,9;1005;819,8;30,4;25,9;30,5;27,9;26,5;25,3;91;76;77;348;3,6;,9;
2023/01/03;2000 UTC;0;1005,2;1005,5;1004,9;435,6;29,3;24,6;30,4;29;25,7;24,2;82;74;76;323;3,5;,5;
2023/01/03;2100 UTC;3,2;1005,8;1005,8;1005,2;121,2;24,5;23,6;29,4;24,2;25,3;22,4;95;72;95;93;11,4;,2;
2023/01/03;2200 UTC;0;1006,6;1006,6;1005,8;9,3;24,7;23,7;25,1;24,5;23,7;23,3;95;90;94;101;3,1;,3;
2023/01/03;2300 UTC;0;1007,2;1007,2;1006,6;;24,4;23,8;24,7;24,4;23,9;23,6;96;94;96;161;2,1;0;
2023/01/04;0000 UTC;0;1008,1;1008,1;1007,1;;24,5;24;24,5;24,3;24;23,8;97;96;97;89;0;0;
2023/01/04;0100 UTC;0;1009;1009;1008,1;;25,1;23,9;25,1;24,4;24;23,9;97;93;93;46;1,5;0;
2023/01/04;0200 UTC;0;1009,3;1009,3;1009;;25,3;23,8;25,4;25,1;23,9;23,7;93;91;91;48;2,8;0;
2023/01/04;0300 UTC;0;1009,1;1009,4;1009,1;;25,2;23,7;25,3;25,2;23,8;23,7;92;91;91;52;2,8;,2;
2023/01/04;0400 UTC;0;1008,5;1009,1;1008,5;;24,8;23,6;25,2;24,8;23,7;23,6;93;91;93;65;1,9;0;
2023/01/04;0500 UTC;0;1007,8;1008,5;1007,8;;24,2;23,6;24,8;24,2;23,7;23,6;97;93;97;143;0;0;
2023/01/04;0600 UTC;0;1007,2;1007,8;1007,2;;23,9;23,4;24,2;23,9;23,6;23,4;97;97;97;101;1,6;0;
2023/01/04;0700 UTC;0;1007,1;1007,2;1007,1;;23,8;23,3;23,9;23,8;23,4;23,3;97;97;97;93;1,4;0;
2023/01/04;0800 UTC;0;1007,5;1007,5;1007,1;;23,7;23,3;23,8;23,7;23,3;23,2;97;97;97;113;1,6;0;
2023/01/04;0900 UTC;0;1008;1008;1007,5;;23,8;23,3;23,8;23,7;23,4;23,3;98;97;98;106;1,8;,1;
2023/01/04;1000 UTC;0;1008,6;1008,6;1008;102,9;24,5;24;24,5;23,7;24;23,3;98;97;97;129;1,8;,1;
2023/01/04;1100 UTC;0;1009,8;1009,8;1008,6;421,2;27,7;25,1;27,7;24,5;25,1;23,9;97;85;86;123;4;1,6;
2023/01/04;1200 UTC;0;1010,1;1010,1;1009,8;569,9;29,3;25,8;30;27,6;26;24,5;86;77;81;113;4,5;2,1;
2023/01/04;1300 UTC;0;1010,3;1010,4;1010,1;1786,8;30,6;25,7;30,6;29,3;26;24,6;82;73;75;87;6,5;2,4;
2023/01/04;1400 UTC;0;1010,2;1010,4;1010,2;2540,6;32,4;25;32,4;29,5;26,2;24,1;78;65;65;92;7,9;2,6;
2023/01/04;1500 UTC;0;1009,6;1010,2;1009,6;2753,4;32;24,8;32,7;30,8;26,2;24;71;62;66;103;7,1;2,6;
2023/01/04;1600 UTC;,2;1008,2;1009,6;1008,2;2989,4;31,4;24,2;32,7;30,6;25,7;23,1;69;60;66;125;6,4;2,7;
2023/01/04;1700 UTC;0;1007,3;1008,2;1007,2;2733,8;32,8;24,8;33;30,7;25,5;23,3;69;59;63;127;5,7;2,2;
2023/01/04;1800 UTC;0;1006,5;1007,3;1006,5;2332,1;33,7;24;33,9;31,6;25,5;23,1;65;57;57;65;5,3;1,1;
2023/01/04;1900 UTC;5,6;1006,2;1006,9;1006,2;1528,3;27,7;25;33,9;25,4;25,8;23,1;94;56;85;48;10,7;1,3;
2023/01/04;2000 UTC;0;1005,5;1006,2;1005,4;1344,8;28,3;24,2;29,6;27,7;25,7;24,1;87;75;79;59;5,9;,7;
2023/01/04;2100 UTC;0;1006,4;1006,5;1005,5;179,7;27,9;22,4;28,5;27,9;24,6;22,4;81;72;72;72;6;1,7;
2023/01/04;2200 UTC;0;1007,4;1007,4;1006,4;19,1;27,5;23;28;27,2;23;22,3;77;71;76;55;5,5;,9;
2023/01/04;2300 UTC;0;1008,4;1008,5;1007,4;;27,1;23,5;27,7;27;23,6;22,9;82;76;81;67;4,9;1,6;
2023/01/05;0000 UTC;0;1009,4;1009,5;1008,4;;26,4;23,7;27,1;26,3;23,8;23,5;86;81;85;64;4,9;,4;
2023/01/05;0100 UTC;0;1009,6;1009,6;1009,3;;26,1;23,2;26,6;26,1;23,7;23;85;82;84;75;3,9;,8;
2023/01/05;0200 UTC;0;1009,7;1009,8;1009,6;;25,5;23,1;26,1;25,5;23,2;23;87;84;86;81;3,6;,6;
2023/01/05;0300 UTC;0;1009,2;1009,8;1009,1;;25;23,3;25,6;25;23,3;23,1;90;86;90;112;3;0;
2023/01/05;0400 UTC;0;1008,5;1009,2;1008,5;;24,9;23,4;25;24,8;23,5;23,2;92;90;91;71;3,7;1,1;
2023/01/05;0500 UTC;0;1007,9;1008,5;1007,9;;24,7;23,3;24,9;24,7;23,4;23,3;92;91;92;68;3,7;1,1;
2023/01/05;0600 UTC;0;1007,6;1008;1007,5;;24,8;23,3;24,8;24,6;23,3;23,2;92;91;91;57;3;,2;
2023/01/05;0700 UTC;0;1007,4;1007,6;1007,3;;24,7;23,1;24,9;24,7;23,3;23,1;91;90;91;66;3,2;,3;
2023/01/05;0800 UTC;0;1007,6;1007,6;1007,3;;24,5;23,1;24,7;24,4;23,2;23;92;91;92;72;3,8;,1;
2023/01/05;0900 UTC;0;1008,4;1008,4;1007,6;;24,1;23;24,5;24,1;23,1;23;94;92;94;81;3,6;,2;
2023/01/05;1000 UTC;0;1009,2;1009,2;1008,4;89;24,8;23,3;24,8;24;23,4;22,9;94;92;92;73;3,4;1;
2023/01/05;1100 UTC;0;1010,2;1010,2;1009,2;399,4;27,7;23,8;27,8;24,8;24,2;23,3;92;79;79;61;4,4;1,1;
2023/01/05;1200 UTC;0;1010,4;1010,4;1010,2;582,3;30,1;24,7;30,1;27,6;24,8;23,6;80;71;73;66;5;1;
2023/01/05;1300 UTC;0;1010,4;1010,6;1010,4;1712,6;30,5;23,7;31,4;29,3;24,9;23,5;74;65;67;60;7;1,7;
2023/01/05;1400 UTC;0;1010,2;1010,5;1010,2;2738,5;32,6;23,6;32,6;30,5;24,9;22,8;69;59;59;86;6,8;3;
2023/01/05;1500 UTC;0;1010,1;1010,3;1010,1;2350,2;32,6;23,4;33,6;31,1;24,7;22,9;65;56;59;88;7,9;2,4;
2023/01/05;1600 UTC;0;1009,4;1010,1;1009,4;2530;32,4;23,5;33,5;31,3;24,9;22,3;62;54;59;66;7;1,5;
2023/01/05;1700 UTC;,2;1008,5;1009,4;1008,5;1892,9;30,9;24,3;34,1;28,6;25;22,3;78;53;68;126;8,4;1,3;
2023/01/05;1800 UTC;,2;1007,5;1008,6;1007,5;2023,3;30,8;25,1;33,6;30,8;25,6;22,2;72;55;72;308;6,1;1,7;
2023/01/05;1900 UTC;0;1006,7;1007,5;1006,7;1118,4;31,6;24;32,2;29,1;25,5;23,8;78;62;64;11;6,1;1,5;
2023/01/05;2000 UTC;0;1006,5;1006,7;1006,3;995;31,2;24,4;32,9;30,2;25,6;23,6;73;61;67;335;6;1,6;
2023/01/05;2100 UTC;0;1007,1;1007,1;1006,5;278,1;29,1;24,6;31,2;29,1;25,1;24,2;77;68;77;345;5,7;,8;
2023/01/05;2200 UTC;0;1007,6;1007,6;1007,1;13,4;28,7;24,3;29,1;28,6;24,7;24,3;79;77;77;21;4,5;,6;
2023/01/05;2300 UTC;0;1008,7;1008,7;1007,6;;28,1;23,3;28,7;28,1;24,3;23,3;78;74;75;49;5,7;1;
2023/01/06;0000 UTC;0;1009,7;1009,7;1008,7;;27,2;23,2;28,1;27,2;23,4;23,1;79;75;79;62;5,6;1,2;
2023/01/06;0100 UTC;0;1009,8;1009,9;1009,7;;26,7;23,3;27,2;26,7;23,3;23,2;82;79;82;41;5,2;,6;
2023/01/06;0200 UTC;0;1010,1;1010,1;1009,8;;26,2;23,3;26,7;26,2;23,4;23,2;84;82;84;60;4,1;,8;
2023/01/06;0300 UTC;0;1010,1;1010,2;1010;;25,6;23,3;26,2;25,6;23,4;23,3;87;84;87;74;4;1,1;
2023/01/06;0400 UTC;0;1009,5;1010,1;1009,5;;25,1;23,2;25,6;25,1;23,3;23,2;89;87;89;73;3,9;1,1;
2023/01/06;0500 UTC;0;1008,7;1009,5;1008,7;;24,7;23,1;25,1;24,7;23,2;23,1;91;89;91;92;3,4;,4;
2023/01/06;0600 UTC;0;1008,3;1008,7;1008,2;;24,5;23;24,7;24,4;23,2;23;92;91;92;71;3,5;,4;
2023/01/06;0700 UTC;0;1008;1008,3;1008;;24,4;23;24,5;24,3;23,1;22,9;92;92;92;69;2,9;,2;
2023/01/06;0800 UTC;0;1007,9;1008;1007,8;;24;22,9;24,4;24;23,1;22,9;94;92;93;94;3,2;,2;
2023/01/06;0900 UTC;0;1008,6;1008,6;1007,9;;23,6;22,8;24;23,6;23;22,8;95;93;95;116;2,2;0;
2023/01/06;1000 UTC;0;1009,4;1009,4;1008,6;40,3;23,7;23,1;23,7;23,5;23,1;22,8;96;95;96;126;1,1;0;
2023/01/06;1100 UTC;0;1010,1;1010,1;1009,4;361,8;27,3;24;27,3;23,7;24,3;23,1;96;82;82;97;3,4;1,3;
2023/01/06;1200 UTC;0;1010,5;1010,5;1010,1;580,4;30,1;24,8;30,4;27,3;25,2;23,7;83;71;73;83;5,1;1,1;
2023/01/06;1300 UTC;0;1011,1;1011,1;1010,5;1442,1;31,1;23,8;31,1;28,4;24,2;22,6;75;65;65;65;6,6;1,6;
2023/01/06;1400 UTC;,2;1010,6;1011,1;1010,6;3120,2;32,5;22,8;32,8;30,8;24,6;22,8;67;57;57;66;7,6;2,1;
2023/01/06;1500 UTC;0;1010,4;1010,7;1010,3;3184,7;32,4;23,3;33,2;31,4;24,8;22,1;65;55;59;94;6,9;2,5;
2023/01/06;1600 UTC;0;1009,6;1010,4;1009,6;3155,1;33,3;23,1;33,8;31,8;24,7;21,4;61;50;55;63;6,1;1,4;
2023/01/06;1700 UTC;0;1008,8;1009,6;1008,8;2490,2;33,6;22,5;34;31,6;23,6;20,8;60;49;52;73;5,6;1,4;
2023/01/06;1800 UTC;0;1008,1;1008,8;1008,1;2374,4;31,7;24;34,3;31,6;24,1;21,4;64;48;64;261;5,5;1,2;
2023/01/06;1900 UTC;0;1007,6;1008,1;1007,6;1471,1;31,2;25,1;32,7;30,4;25,2;23,7;71;61;70;285;5,4;1,6;
2023/01/06;2000 UTC;1,4;1007,4;1007,7;1007,3;623,4;27,2;24,4;31,7;26;25,4;22,9;88;67;85;263;5,3;,8;
2023/01/06;2100 UTC;0;1007;1007,4;1006,9;245,9;27,9;24,6;28,3;27,2;25,6;23,7;87;79;83;333;3,9;,5;
2023/01/06;2200 UTC;0;1007,6;1007,6;1007;87,5;27,7;24,5;28,1;27,6;25;24,4;84;81;82;15;3,9;,5;
2023/01/06;2300 UTC;0;1008,7;1008,7;1007,6;;27,2;24,2;27,8;27,2;24,6;24,2;85;82;84;24;3,1;,3;
2023/01/07;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0100 UTC;0;1010,6;1010,7;1009,5;;26,3;23,2;26,9;26,3;23,4;23,2;83;80;83;64;4,2;,2;
2023/01/07;0200 UTC;0;1010,9;1010,9;1010,6;;25,9;23,3;26,3;25,9;23,4;23,2;86;83;85;45;3;,3;
2023/01/07;0300 UTC;0;1010,9;1011,1;1010,9;;25;23,5;25,9;25;23,6;23,3;91;85;91;148;2,7;0;
2023/01/07;0400 UTC;0;1010,3;1010,9;1010,3;;24,4;23,5;25;24,4;23,5;23,4;95;91;95;156;1,9;0;
2023/01/07;0500 UTC;0;1009,7;1010,3;1009,7;;24,4;23,3;24,5;24,3;23,6;23,3;95;93;93;84;2,5;,2;
2023/01/07;0600 UTC;0;1009,2;1009,7;1009,2;;24;23,3;24,4;24;23,3;23,2;96;93;96;123;2,3;0;
2023/01/07;0700 UTC;0;1008,9;1009,3;1008,8;;23,8;23,2;24;23,7;23,3;23,2;97;96;97;116;1,4;0;
2023/01/07;0800 UTC;0;1009,1;1009,1;1008,7;;23,8;23,2;23,8;23,7;23,3;23,1;97;97;97;109;1,8;,1;
2023/01/07;0900 UTC;0;1009,8;1009,8;1009,1;;23,7;23,1;23,9;23,7;23,3;23;97;96;96;96;1,8;0;
2023/01/07;1000 UTC;0;1010,6;1010,6;1009,8;85;24,3;23,6;24,3;23,6;23,7;23,1;97;96;96;104;2,3;,3;
2023/01/07;1100 UTC;0;1011,2;1011,2;1010,6;351,2;27,5;24,6;27,5;24,3;24,8;23,6;96;84;84;92;3,4;1,4;
2023/01/07;1200 UTC;0;1011,9;1011,9;1011,2;639,6;28,5;24,7;30,1;27,5;25,9;24,3;84;75;80;119;4,1;2;
2023/01/07;1300 UTC;0;1011,9;1012;1011,8;1638,1;30,2;24,6;30,6;28,5;25,5;23,4;82;69;72;82;5,8;1,9;
2023/01/07;1400 UTC;0;1011,7;1011,9;1011,7;2333,4;30,9;23,5;32,5;30;25,4;23,5;73;62;65;87;6,6;1,9;
2023/01/07;1500 UTC;0;1011,3;1011,7;1011,3;2594,3;32,1;23,5;32,8;30,7;24,9;23;68;59;60;92;5,5;1,5;
2023/01/07;1600 UTC;0;1010,7;1011,3;1010,7;3058,2;32,6;23,6;34;30,7;25,2;22,5;65;53;59;115;6,6;2,1;
2023/01/07;1700 UTC;0;1009,4;1010,7;1009,4;2242,9;32,1;23;33,2;31,2;25;22,1;64;55;59;117;5;1,8;
2023/01/07;1800 UTC;0;1008,2;1009,4;1008,2;2441,7;32,9;23,4;33,8;31,5;24,9;21,9;63;54;58;115;5,6;1,7;
2023/01/07;1900 UTC;0;1008;1008,2;1007,9;2226,5;33,4;22,6;33,5;32,4;23,5;21,9;59;52;53;174;4,5;,6;
2023/01/07;2000 UTC;0;1007,5;1008;1007,3;992,1;31,6;24,9;33,3;31,4;25,4;22,3;69;54;68;325;5,4;1,3;
2023/01/07;2100 UTC;0;1007,8;1007,8;1007,4;414,8;28,5;22,2;31,7;28,5;25,1;22,2;70;66;69;58;6,5;1;
2023/01/07;2200 UTC;0;1008,9;1008,9;1007,7;12,4;27,4;22,8;28,6;27,4;22,9;22;77;68;76;39;5,8;1;
2023/01/07;2300 UTC;0;1009,6;1009,6;1008,9;;27,1;23,8;27,4;26,9;24;22,8;83;76;82;41;5,7;1;
2023/01/08;0000 UTC;0;1010,1;1010,1;1009,6;;27,1;23,8;27,2;27;23,9;23,7;83;81;82;67;4,5;,7;
2023/01/08;0100 UTC;0;1010,6;1010,6;1010,1;;26,6;23,7;27,1;26,6;23,8;23,7;84;82;84;59;4,7;1,3;
2023/01/08;0200 UTC;0;1010,7;1010,8;1010,6;;26,1;23,7;26,7;26,1;23,8;23,7;87;84;87;83;4,3;1,4;
2023/01/08;0300 UTC;0;1010,3;1010,8;1010,3;;25,6;23,8;26,1;25,6;23,8;23,8;90;87;90;99;3,9;,5;
2023/01/08;0400 UTC;0;1009,7;1010,3;1009,7;;24,9;23,8;25,6;24,9;23,9;23,8;94;90;94;96;2,4;,2;
2023/01/08;0500 UTC;0;1009,3;1009,7;1009,3;;24,6;23,8;25;24,6;23,9;23,8;96;93;96;131;1,8;0;
2023/01/08;0600 UTC;0;1009,1;1009,3;1009;;24,5;23,9;24,6;24,4;23,9;23,8;97;96;96;131;1,1;0;
2023/01/08;0700 UTC;0;1008,9;1009,1;1008,8;;24,4;23,8;24,5;24,4;23,9;23,8;96;96;96;155;1,1;0;
2023/01/08;0800 UTC;0;1009;1009;1008,9;;24,3;23,6;24,4;24,3;23,8;23,6;97;96;96;140;1;0;
2023/01/08;0900 UTC;0;1009,3;1009,3;1009;;24,2;23,7;24,3;24,2;23,8;23,6;97;96;97;109;1,6;,2;
2023/01/08;1000 UTC;0;1010,3;1010,3;1009,3;65,6;24,9;24,1;24,9;24,2;24,1;23,7;97;95;95;107;1,7;,3;
2023/01/08;1100 UTC;0;1011,2;1011,2;1010,3;458,8;27,9;25;27,9;24,9;25,1;24,1;95;83;84;113;3,2;1,6;
2023/01/08;1200 UTC;0;1012,1;1012,1;1011,2;660,9;28,8;24,8;29,1;27,7;25,1;24,2;84;77;79;77;4,5;1,5;
2023/01/08;1300 UTC;0;1012,2;1012,2;1012,1;1156,2;29,5;24,3;30,8;28,7;25,4;23,9;80;69;73;63;5,1;1,6;
2023/01/08;1400 UTC;0;1012;1012,3;1012;1373,3;30,7;24;31,1;29,5;25;23,9;74;67;68;84;5,1;1,5;
2023/01/08;1500 UTC;0;1011,2;1012;1011,2;2525,9;32;24,5;33,2;30,1;25,8;23,5;72;59;65;82;5,2;1,1;
2023/01/08;1600 UTC;0;1010,2;1011,2;1010,2;3153,1;32;24;34,3;30,1;25,7;23,1;71;56;63;128;5,3;1,9;
2023/01/08;1700 UTC;0;1009,1;1010,2;1009,1;3010,8;32,1;24,8;34,3;31,8;25,9;22,5;65;52;65;20;5,6;1,8;
