REGIAO:;NE
UF:;BA
ESTACAO:;GUANAMBI
CODIGO (WMO):;A426
LATITUDE:;-14,20805555
LONGITUDE:;-42,74972221
ALTITUDE:;552,23
DATA DE FUNDACAO:;24/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;951,5;951,5;950,8;;25,4;16,8;26,3;25,2;16,9;16,2;60;54;59;148;4,8;,9;
2023/01/01;0100 UTC;0;951,7;951,8;951,5;;25,7;16,2;25,9;25,1;16,9;16,1;61;55;56;100;6,1;3,4;
2023/01/01;0200 UTC;0;952;952,1;951,7;;24,8;16,5;25,7;24,8;16,7;16,1;60;55;60;99;6,7;2,1;
2023/01/01;0300 UTC;0;951,7;952;951,7;;24,6;17,3;25,5;24,5;17,4;16,4;64;58;64;98;11,3;5,9;
2023/01/01;0400 UTC;0;951,2;951,7;951,2;;23,5;16,9;24,6;23,5;17,3;16,8;68;64;67;103;11,5;5;
2023/01/01;0500 UTC;0;951;951,3;951;;22,6;16,6;23,6;22,5;16,9;16,6;69;66;69;112;9,5;3;
2023/01/01;0600 UTC;0;950,8;951,1;950,7;;22,4;16,1;22,6;22,2;16,6;16,1;69;68;68;109;7,8;4;
2023/01/01;0700 UTC;0;951,1;951,1;950,8;;22;16,1;22,4;21,9;16,2;15,9;70;67;70;109;7,8;4,3;
2023/01/01;0800 UTC;0;951,7;951,7;951,1;;21,3;15,9;22,2;21,3;16,2;15,8;72;68;72;121;9,2;2,5;
2023/01/01;0900 UTC;0;952,3;952,3;951,7;185,6;21,9;16,2;21,9;21,1;16,2;15,9;72;70;70;135;6,1;1,8;
2023/01/01;1000 UTC;0;952,8;952,9;952,3;902,3;23,3;16,2;23,3;21,8;16,3;15,8;70;64;64;109;5,1;2,3;
2023/01/01;1100 UTC;0;952,9;953;952,8;2441,4;25,1;16;25,2;23,3;16,4;15,6;64;56;57;97;7,8;3,3;
2023/01/01;1200 UTC;0;953,1;953,1;952,9;3399,2;26,3;16,1;26,8;25,1;16,7;15,5;58;52;53;100;8,4;4,3;
2023/01/01;1300 UTC;0;952,8;953,1;952,8;4220,5;27,5;16,3;27,9;26,3;17,1;15,8;54;49;51;101;8,4;4,5;
2023/01/01;1400 UTC;0;952,4;952,8;952,4;4282;28,5;16,4;29,6;27,5;17,1;15,8;53;45;48;102;7,6;4,1;
2023/01/01;1500 UTC;0;951,8;952,4;951,8;3374,3;29,2;16,6;29,9;28,5;17,4;15,7;49;44;47;107;9,5;3,3;
2023/01/01;1600 UTC;0;951;951,8;951;2967,6;29,9;15,2;30,9;28,7;17,6;15,2;49;40;41;99;8,3;4,2;
2023/01/01;1700 UTC;0;950,2;951;950,2;3732,4;30,3;15,5;30,9;29,4;17;14,6;46;38;41;101;8,3;3,6;
2023/01/01;1800 UTC;0;949,4;950,2;949,4;2768,9;30,2;16,5;31,1;29,1;17,4;15,3;47;41;44;121;7,5;3,9;
2023/01/01;1900 UTC;0;949;949,5;949;2672;29,8;16,4;30,9;29,8;17,2;15,1;45;39;44;102;8,8;4,8;
2023/01/01;2000 UTC;0;949,2;949,2;948,9;1659,7;29,1;16,7;30,3;28,9;17,5;15,5;49;42;47;103;7,3;4,4;
2023/01/01;2100 UTC;0;949,6;949,6;949,2;410,6;27;17;29,3;27;17,3;16,5;55;47;54;101;7;3,6;
2023/01/01;2200 UTC;0;949,9;949,9;949,5;7;25,7;17,2;27;25,7;17,3;17;59;54;59;138;6,4;2,9;
2023/01/01;2300 UTC;0;950,6;950,6;949,9;;24,7;17,1;25,7;24,3;17,8;17,1;66;59;63;96;5;2;
2023/01/02;0000 UTC;0;951,1;951,1;950,6;;24,6;16,2;26;24,5;17;15,7;63;53;59;103;5,6;2,1;
2023/01/02;0100 UTC;0;951,2;951,3;951,1;;24,9;16,5;25;24,6;16,5;16,1;60;58;60;96;5,2;3,3;
2023/01/02;0200 UTC;0;951,1;951,2;951,1;;24,3;16,3;25;24,3;16,7;16,3;62;59;61;109;6,1;2,8;
2023/01/02;0300 UTC;0;951;951,2;951;;23,8;16,7;24,8;23,8;16,7;16;64;58;64;94;8,7;4,9;
2023/01/02;0400 UTC;0;950,7;951;950,7;;23,4;17,3;23,9;23,4;17,4;16,7;69;64;69;97;8,9;5,2;
2023/01/02;0500 UTC;0;950,4;950,7;950,4;;23,2;17,7;23,6;23;17,7;17,4;72;68;71;98;9,2;5,1;
2023/01/02;0600 UTC;0;950,1;950,4;950,1;;22,8;17,8;23,2;22,8;17,9;17,6;73;71;73;100;9,8;4,2;
2023/01/02;0700 UTC;0;950,6;950,6;950,1;;22,7;17,7;23;22,5;17,9;17,7;75;73;73;103;9,1;3,9;
2023/01/02;0800 UTC;0;950,7;950,7;950,5;;22,4;17,6;22,8;22,3;17,7;17,5;75;72;74;99;8,1;3,9;
2023/01/02;0900 UTC;0;951,1;951,1;950,6;155,1;22,9;17,5;22,9;22,2;17,6;17,5;75;72;72;97;10;5,5;
2023/01/02;1000 UTC;0;951,6;951,6;951;1110,7;23,8;17,4;24;22,9;17,8;17,3;72;66;67;104;10;5,1;
2023/01/02;1100 UTC;0;952;952;951,6;1851;24,7;17,3;24,9;23,8;17,7;17;68;63;64;102;9,5;4,8;
2023/01/02;1200 UTC;0;952,4;952,4;952;3273,5;26;17,3;26,2;24,7;18,2;16,9;64;58;59;99;10,4;6,3;
2023/01/02;1300 UTC;0;952,1;952,4;952,1;4002,8;26,7;17,6;27,4;26;18,1;16,9;59;55;57;105;9,6;3,6;
2023/01/02;1400 UTC;0;952,2;952,3;952,1;4004,1;28,2;18,2;28,8;26,7;18,5;17,3;58;52;55;124;7,7;4,7;
2023/01/02;1500 UTC;0;951,1;952,2;951,1;3818,7;29,3;18;29,3;27,7;18,7;17,5;57;51;51;126;8,8;4,6;
2023/01/02;1600 UTC;0;949,8;951,1;949,7;4707,2;30,1;17,5;30,4;28,5;18,9;16,7;55;45;47;113;7,2;2,9;
2023/01/02;1700 UTC;0;948,9;949,8;948,9;4221,2;30,3;16,2;30,7;29,4;18,3;16,1;49;42;43;135;6,4;3,6;
2023/01/02;1800 UTC;0;947,7;948,9;947,7;3725,3;30,8;16,3;31;29,6;17,6;15,6;48;41;42;116;6,2;2,9;
2023/01/02;1900 UTC;0;946,8;947,7;946,8;2724;31,1;15,8;31,4;30,5;17,5;15,1;46;38;40;116;5,3;2,7;
2023/01/02;2000 UTC;0;946,8;946,8;946,6;1385,3;30,5;16,4;31,1;30,4;16,7;15,3;44;39;43;100;4,8;2,6;
2023/01/02;2100 UTC;0;947;947;946,7;557,9;29,2;17,5;30,6;29,1;17,6;15,7;50;41;50;95;6,8;4,8;
2023/01/02;2200 UTC;0;947,7;947,7;947;9,5;27,4;18,1;29,2;27,4;18,2;17,4;57;49;57;98;6,8;3,1;
2023/01/02;2300 UTC;0;948,5;948,5;947,7;;26,6;18,4;27,4;26,5;18,4;18,1;61;57;61;96;6,7;4,3;
2023/01/03;0000 UTC;0;949,7;949,7;948,5;;25,2;18,3;26,6;25,2;18,6;18,3;66;61;66;96;11;6,2;
2023/01/03;0100 UTC;0;950,4;950,4;949,8;;24,2;18,1;25,2;24,1;18,4;18,1;69;66;69;99;8,9;4,5;
2023/01/03;0200 UTC;0;950,7;950,8;950,4;;23,2;18,2;24,2;23,2;18,3;18;74;69;74;127;7,9;2,8;
2023/01/03;0300 UTC;0;950,4;950,8;950,4;;22,9;18;23,2;22,9;18,2;18;74;74;74;121;6,7;3,6;
2023/01/03;0400 UTC;0;950;950,4;949,9;;22,5;18;22,9;22,4;18;17,9;76;74;76;115;6,2;3,1;
2023/01/03;0500 UTC;0;949,5;950,1;949,5;;22,5;17,7;22,9;22,5;18;17,7;76;73;74;106;6,9;3,5;
2023/01/03;0600 UTC;0;949,5;949,6;949,4;;22,3;17,7;22,6;22,3;17,9;17,7;76;74;75;119;6,9;2,3;
2023/01/03;0700 UTC;0;949,3;949,5;949,1;;22;17,7;22,3;22;17,8;17,6;77;75;77;129;5,5;2,7;
2023/01/03;0800 UTC;0;949,6;949,6;949,1;;21,6;17,6;22,1;21,5;17,7;17,5;79;76;78;119;4,8;1,8;
2023/01/03;0900 UTC;0;950,3;950,4;949,5;70,9;22;17,8;22;21,6;17,8;17,6;78;77;77;120;3,4;2,1;
2023/01/03;1000 UTC;0;950,8;950,8;950,3;675,5;22,8;17,8;22,8;22;17,9;17,7;77;73;73;117;5,6;3,5;
2023/01/03;1100 UTC;0;951,3;951,4;950,7;1790,5;24,5;17,8;24,6;22,8;18,2;17,6;73;66;66;102;6;3,4;
2023/01/03;1200 UTC;0;951,4;951,5;951,2;2826;26,2;18,1;26,5;24,4;18,6;17,7;68;60;61;131;5,5;1,7;
2023/01/03;1300 UTC;0;951,6;951,6;951,4;3229,7;27;18,1;28,2;26,2;19,1;17,8;63;54;58;180;4,4;1,5;
2023/01/03;1400 UTC;0;951,3;951,7;951,3;2902,1;28,7;19,2;29,1;26,9;20;18,2;62;54;57;150;4,6;1,9;
2023/01/03;1500 UTC;0;950,5;951,3;950,5;3099,1;30;18,5;30,2;27,8;19,6;17,7;58;49;50;151;6,2;1,2;
2023/01/03;1600 UTC;0;949,2;950,5;949,2;4972,3;30,7;18,8;31,1;29,5;19,2;17,7;52;47;49;140;5,8;2,7;
2023/01/03;1700 UTC;0;948;949,2;948;4643,8;31,5;17,8;31,8;30,3;19,1;17,2;50;43;44;123;6,1;2,3;
2023/01/03;1800 UTC;0;947,5;948,1;947,4;3597,7;30,9;18;32,2;30,6;18,3;17,1;47;42;46;107;6,1;3,7;
2023/01/03;1900 UTC;18,6;947,8;948,4;947,4;636,3;23,1;20;31;21;20,6;17,7;90;46;83;116;15,7;9,8;
2023/01/03;2000 UTC;1,2;947,3;947,8;947,3;634,3;24,2;21,2;24,2;22,5;21,5;19,1;87;79;83;120;15,4;,5;
2023/01/03;2100 UTC;0;948,1;948,1;947,3;244,7;24,7;22;24,9;24,2;22;21,2;85;80;85;110;2,1;0;
2023/01/03;2200 UTC;0;949;949;948,1;4,7;25,2;22,1;25,2;24,6;22,6;21,9;87;82;83;141;0;0;
2023/01/03;2300 UTC;0;950,2;950,2;949;;25,3;20;25,7;24,8;21,9;19,9;83;72;72;104;3,9;0;
2023/01/04;0000 UTC;0;950,7;950,7;950,2;1,6;25;19;25,7;24,9;20,2;19;74;68;69;98;5,6;2,2;
2023/01/04;0100 UTC;0;951;951;950,7;;24,7;19,1;25;24,2;19,9;18,8;77;69;71;124;3,9;,5;
2023/01/04;0200 UTC;,2;950,9;951,1;950,8;;23,6;19,5;25,3;23,6;19,5;18,6;78;67;78;135;3,4;0;
2023/01/04;0300 UTC;0;950,7;951,1;950,7;;23,9;19,7;24,2;23,5;19,7;19,2;79;74;78;112;2;0;
2023/01/04;0400 UTC;0;950,7;950,7;950,5;;23,3;19,4;23,9;23,3;19,9;19,2;80;76;78;141;1,7;0;
2023/01/04;0500 UTC;0;950,4;950,8;950,4;;22,9;19,7;23,4;22,9;20,2;19,2;83;77;82;129;2,8;1,7;
2023/01/04;0600 UTC;0;950,4;950,5;950,3;;22,7;19,9;23,1;22,6;20;19,5;85;80;84;159;3,8;2,3;
2023/01/04;0700 UTC;4,2;951;951,1;950,4;;20,4;19;22,7;20,3;20,1;18,9;92;84;92;207;9,6;4,5;
2023/01/04;0800 UTC;5,4;951,4;951,6;951;;20,3;18,9;20,6;20,2;19,2;18,9;92;92;92;217;7,8;3,4;
2023/01/04;0900 UTC;,2;952,1;952,1;951,4;36,1;20,6;19;20,6;20,2;19,2;18,8;92;91;91;226;5,7;3,1;
2023/01/04;1000 UTC;;;;;;;;;;;;;;;;;;
2023/01/04;1100 UTC;;;;;;;;;;;;;;;;;;
2023/01/04;1200 UTC;;;;;;;;;;;;;;;;;;
2023/01/04;1300 UTC;;;;;;;;;;;;;;;;;;
2023/01/04;1400 UTC;0;952,3;952,5;952,3;3162,7;25,1;18,3;26,1;24,5;19,7;17,9;70;64;66;216;5,4;2,4;
2023/01/04;1500 UTC;0;951,6;952,3;951,6;3486,8;26;18,3;26,7;25,1;20;17,9;70;61;62;192;5,9;2,8;
2023/01/04;1600 UTC;0;950,7;951,6;950,7;4539,7;27,7;17,4;28,2;25,9;19,8;17,4;66;53;53;184;5,2;2,3;
2023/01/04;1700 UTC;0;949,6;950,7;949,6;4015,5;28,4;17,8;28,6;27,3;18,6;17;58;51;53;181;5,6;2,4;
2023/01/04;1800 UTC;0;948,7;949,6;948,7;3351,4;28,2;17,6;29;28;18;16,5;54;47;52;191;4,7;2,6;
2023/01/04;1900 UTC;0;948,2;948,7;948,2;2208,8;27,9;16,5;29,2;27,9;17,6;15,9;52;47;50;207;6,2;1,7;
2023/01/04;2000 UTC;0;948,3;948,4;948,2;1304,9;27,9;16,6;28,9;27,7;17,9;15,7;55;46;50;254;4,3;1,3;
2023/01/04;2100 UTC;0;948,4;948,4;948,2;335,2;26,6;18;27,9;26,6;18,1;16,1;59;49;59;179;2,4;1;
2023/01/04;2200 UTC;0;949;949;948,4;4,6;25,6;18,9;26,6;25,3;19,6;17,9;70;59;67;141;1,8;,9;
2023/01/04;2300 UTC;0;949,7;949,7;949;;24;19,2;25,7;23,9;19,9;18,7;78;65;74;94;2,9;1,5;
2023/01/05;0000 UTC;0;950,1;950,1;949,7;;23,4;19,2;24,1;23;19,5;18,9;79;74;77;96;2,3;1,4;
2023/01/05;0100 UTC;0;950,8;950,8;950,1;;23,2;19,5;24,1;23,2;19,6;18,2;80;70;80;109;1,8;0;
2023/01/05;0200 UTC;0;950,3;950,8;950,3;;22,9;18,8;23,5;22,8;19,5;18,7;80;76;78;105;3,3;2,1;
2023/01/05;0300 UTC;0;949,8;950,3;949,8;;22;19,3;23,1;21,6;19,4;18,5;86;76;85;161;3,3;,6;
2023/01/05;0400 UTC;0;949,3;949,8;949,3;;22,1;19,1;22,5;22;19,4;19;85;80;83;222;1,6;0;
2023/01/05;0500 UTC;0;949,2;949,3;949,2;;22,2;19,4;22,2;21,9;19,6;19,1;86;83;84;110;2,3;0;
2023/01/05;0600 UTC;0;949;949,3;949;;22,5;19,6;22,9;22,2;19,7;19,2;85;81;83;127;1,9;,9;
2023/01/05;0700 UTC;;;;;;;;;;;;;;;;;;
2023/01/05;0800 UTC;;;;;;;;;;;;;;;;;;
2023/01/05;0900 UTC;;;;;;;;;;;;;;;;;;
2023/01/05;1000 UTC;;;;;;;;;;;;;;;;;;
2023/01/05;1100 UTC;;;;;;;;;;;;;;;;;;
2023/01/05;1200 UTC;0;951,2;951,2;950,9;3101,6;27,9;19,4;28,2;27,1;20,8;18,4;67;57;60;137;5,3;,8;
2023/01/05;1300 UTC;0;950,9;951,2;950,9;4118,5;29,3;19,6;29,4;27,6;20,9;19,6;65;56;56;128;4,1;,8;
2023/01/05;1400 UTC;0;950,2;950,9;950,2;3482,8;29,6;19,2;30,3;28;20,9;18,7;63;53;54;124;5,1;2,3;
2023/01/05;1500 UTC;;;;;;;;;;;;;;;;;;
2023/01/05;1600 UTC;,8;950,6;950,8;949,9;313,1;21,7;19,2;26,6;21,3;20,4;18,5;87;63;86;182;10,1;4,3;
2023/01/05;1700 UTC;,6;949,4;950,6;949,4;339,9;22;19,6;22;21,6;20;19;89;85;86;99;6,9;1,5;
2023/01/05;1800 UTC;,6;949,6;949,8;949,3;902,1;23,5;20,7;23,5;22;20,9;19,5;86;83;84;202;3,5;1,3;
2023/01/05;1900 UTC;0;949,2;949,6;949,2;1430,3;24,1;21,4;24,4;23,5;21,8;20,4;86;82;85;168;5,1;2,4;
2023/01/05;2000 UTC;0;949,1;949,3;949;448,1;24,1;21;24,2;23,9;21,5;20,9;85;82;83;120;4,1;1,2;
2023/01/05;2100 UTC;0;950,2;950,2;949,1;61,1;23,9;21,5;24,2;23,9;21,5;21;86;83;86;175;2,1;1;
2023/01/05;2200 UTC;,6;950,6;950,6;950,2;;23,6;21,6;23,9;23,5;21,6;21,4;89;86;89;142;2,5;,6;
2023/01/05;2300 UTC;0;951,4;951,4;950,6;;23,5;21,6;24,2;23,4;22,2;21,4;90;87;89;254;4,2;,3;
2023/01/06;0000 UTC;0;952,2;952,2;951,4;;23,4;21,5;23,6;23,3;21,7;21,5;90;88;90;237;2,7;1,3;
2023/01/06;0100 UTC;0;952,4;952,4;952,2;;22,9;21,1;23,4;22,9;21,5;21,1;90;89;90;176;2,5;1,5;
2023/01/06;0200 UTC;,2;952,4;952,6;952,3;;22,8;21,2;23;22,8;21,2;21;90;89;90;132;2,9;1,4;
2023/01/06;0300 UTC;,2;951,5;952,4;951,5;;22,7;21,1;23,1;22,7;21,3;21,1;91;89;91;163;1,9;0;
2023/01/06;0400 UTC;0;950,9;951,5;950,9;;22,6;21,1;22,8;22,6;21,2;21,1;91;91;91;205;0;0;
2023/01/06;0500 UTC;0;950,9;951;950,8;;22,8;21,3;22,8;22,5;21,3;21;91;91;91;217;0;0;
2023/01/06;0600 UTC;0;950,4;950,9;950,4;;22,5;21;22,8;22,5;21,3;21;91;91;91;256;0;0;
2023/01/06;0700 UTC;0;950,2;950,4;950,2;;22,4;21;22,5;22,3;21,1;20,8;91;91;91;144;0;0;
2023/01/06;0800 UTC;0;950,7;950,7;950,2;;22,4;20,9;22,6;22,4;21,1;20,9;91;91;91;163;2,2;0;
2023/01/06;0900 UTC;0;951,2;951,2;950,7;42;22,3;20,7;22,4;22,2;20,9;20,6;91;91;91;250;,9;0;
2023/01/06;1000 UTC;0;951,7;951,7;951,2;369,9;23,1;21;23,1;22,3;21,2;20,7;91;88;88;228;1;,1;
2023/01/06;1100 UTC;0;952,2;952,2;951,7;696,7;23,5;20,6;23,7;23;21,2;20,5;88;83;84;231;1;0;
2023/01/06;1200 UTC;0;952,7;952,7;952,2;1384,9;25;21;25;23,5;21,4;20,5;84;77;78;124;2,5;1;
2023/01/06;1300 UTC;0;952,7;952,7;952,6;1929,3;25,5;20,6;25,6;24,8;21,3;20,3;79;74;74;195;3,3;1,4;
2023/01/06;1400 UTC;0;952,6;952,7;952,5;2944,5;26,6;20,4;27,2;25,5;22,1;20;75;67;69;211;3,4;2;
2023/01/06;1500 UTC;0;952,1;952,6;952,1;2678,7;27,3;21,6;27,3;26,6;21,9;20,4;73;68;71;221;5;2,7;
2023/01/06;1600 UTC;0;951,6;952,1;951,3;2140,3;26,3;21;27,7;26,3;21,5;20,5;73;65;73;188;5,1;1;
2023/01/06;1700 UTC;;;;;;;;;;;;;;;;;;
2023/01/06;1800 UTC;;;;;;;;;;;;;;;;;;
2023/01/06;1900 UTC;;;;;;;;;;;;;;;;;;
2023/01/06;2000 UTC;;;;;;;;;;;;;;;;;;
2023/01/06;2100 UTC;;;;;;;;;;;;;;;;;;
2023/01/06;2200 UTC;;;;;;;;;;;;;;;;;;
2023/01/06;2300 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0200 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0300 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0400 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0500 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0600 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0700 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0800 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;0900 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1000 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1100 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1200 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1300 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1400 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1500 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1600 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1700 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1800 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;1900 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;2000 UTC;;;;;;;;;;;;;;;;;;
2023/01/07;2100 UTC;0;949,5;949,5;948,8;402,7;28,3;18,4;28,8;27,8;18,9;18,4;58;54;55;100;6,2;2,5;
2023/01/07;2200 UTC;0;950,3;950,3;949,5;7,9;26,6;18,9;28,4;26,5;18,9;17,9;63;54;63;132;6,2;0;
2023/01/07;2300 UTC;0;951,1;951,1;950,3;;25,5;18,9;26,7;25,4;18,9;18,2;67;60;67;145;2,6;1,8;
2023/01/08;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/08;0100 UTC;0;952,1;952,1;951,8;;24,2;19;25,2;24,2;19,1;18,5;73;67;73;142;2,7;1,8;
2023/01/08;0200 UTC;0;952;952,2;952;;24,1;18,9;24,5;24;19;18,8;73;71;73;112;3,6;2;
2023/01/08;0300 UTC;0;951,6;952;951,6;;25,1;18,6;25,1;24,1;18,9;18,5;73;67;67;110;5,8;3;
2023/01/08;0400 UTC;0;951,1;951,6;951,1;;24,4;19;25,1;24,2;19;18,5;72;67;72;95;6,9;4,1;
2023/01/08;0500 UTC;0;951;951,1;950,9;;23,4;18,9;24,5;23,4;19;18,9;76;71;76;109;6,9;1,8;
2023/01/08;0600 UTC;0;950,8;951;950,8;;23;18,7;23,6;23;18,9;18,7;77;75;77;118;4,6;1,8;
2023/01/08;0700 UTC;0;951,1;951,1;950,8;;22,1;18,7;23;22,1;18,8;18,5;81;77;81;197;3;1,1;
2023/01/08;0800 UTC;0;951,3;951,3;951,1;;21,6;18,7;22,1;21,6;19;18,6;85;81;84;97;3,1;2,1;
2023/01/08;0900 UTC;0;951,7;951,7;951,3;71,7;21,7;18,9;21,7;21,1;18,9;18,6;86;84;84;108;3,1;1,4;
2023/01/08;1000 UTC;;;;;;;;;;;;;;;;;;
2023/01/08;1100 UTC;;;;;;;;;;;;;;;;;;
2023/01/08;1200 UTC;;;;;;;;;;;;;;;;;;
2023/01/08;1300 UTC;;;;;;;;;;;;;;;;;;
2023/01/08;1400 UTC;;;;;;;;;;;;;;;;;;
2023/01/08;1500 UTC;0;952,2;953,1;952,2;4012,8;29,3;19,1;29,8;28,5;19,8;18;58;51;54;244;3,8;1,7;
2023/01/08;1600 UTC;0;950,9;952,2;950,9;4546,8;30,7;19,6;30,7;29,2;20,1;17,9;56;48;52;185;4,6;1,4;
2023/01/08;1700 UTC;0;950,1;950,9;950;2790,6;29,2;18,4;31,5;29,2;20,5;18,1;58;47;52;178;5,2;1,2;
2023/01/08;1800 UTC;,2;949,2;950,1;949,1;2051,7;28,3;20,1;29,8;26,3;21,5;18,4;70;52;61;229;7,3;2;
2023/01/08;1900 UTC;9,6;949,3;949,7;949,1;349,8;23,3;19,9;28,2;22,8;21;19;83;61;81;130;8,2;1,4;
2023/01/08;2000 UTC;0;948,9;949,3;948,9;509,5;24,7;21,1;24,7;23,4;21,2;19,9;85;80;80;133;4,6;,9;
2023/01/08;2100 UTC;0;949,3;949,3;948,8;322;25,1;21,1;25,3;24,6;21,9;21;85;78;79;102;2,6;1,3;
2023/01/08;2200 UTC;0;950,3;950,3;949,3;12,1;24,6;21,7;25,1;24,3;21,8;21,2;85;79;84;159;2,3;,4;
2023/01/08;2300 UTC;0;951,3;951,3;950,3;;24,7;20,9;24,9;24,2;21,9;20,9;85;79;79;111;2,9;1,9;
2023/01/09;0000 UTC;0;951,9;951,9;951,3;;24,5;21,3;24,7;23,8;21,6;20,9;86;79;82;125;2,9;,3;
2023/01/09;0100 UTC;0;952,3;952,3;951,9;;23,9;21,5;24,5;23,8;21,8;21,4;87;83;87;194;2,8;1,6;
2023/01/09;0200 UTC;0;952,1;952,4;952;;24,8;20,3;24,8;23,8;21,5;20,3;87;76;76;242;2,8;,8;
2023/01/09;0300 UTC;0;951,6;952,1;951,6;;24,5;19,8;25,2;24,4;20,4;19,6;78;72;75;127;4,6;3,1;
2023/01/09;0400 UTC;0;951,1;951,6;951,1;;23,7;19,8;24,5;23,6;19,9;19,7;80;75;79;116;4,8;2;
2023/01/09;0500 UTC;0;950,7;951,1;950,6;;23,8;19,5;24,1;23,7;19,8;19,5;79;76;77;100;4,8;2,3;
2023/01/09;0600 UTC;0;951;951;950,4;;22,7;19,5;23,9;22,7;19,6;19,3;82;76;82;154;5,6;1,2;
2023/01/09;0700 UTC;0;950,7;951;950,7;;22,7;19,1;23;22,4;19,7;19,1;85;80;80;106;5,1;1,6;
2023/01/09;0800 UTC;0;951,1;951,1;950,6;;22,5;18,7;22,7;22;19,2;18,7;84;79;79;117;3,1;,6;
2023/01/09;0900 UTC;0;952,2;952,2;951,1;73,8;22,4;19,2;22,5;22,1;19,2;18,6;83;79;82;253;1,8;,4;
2023/01/09;1000 UTC;0;952,9;952,9;952,2;656,8;23,8;19,1;23,8;22,4;19,5;19;82;75;75;184;1,5;,4;
2023/01/09;1100 UTC;0;953,2;953,2;952,9;1985,9;25,3;19,9;25,3;23,7;19,9;18,7;76;69;72;128;3,5;1,8;
2023/01/09;1200 UTC;0;953,1;953,2;953;2964;26,7;19,8;26,9;25,3;20,2;18,8;72;63;66;126;4,7;2;
2023/01/09;1300 UTC;0;952,9;953,2;952,9;3933,5;28,4;20,5;28,4;26,6;20,5;18,9;66;58;63;114;5,1;2,2;
2023/01/09;1400 UTC;0;952,4;952,9;952,4;4433,2;29,3;19,5;29,4;28;20,7;18,6;62;54;55;142;5,8;2,3;
2023/01/09;1500 UTC;,2;951,6;952,4;951,6;4197,3;29,7;18,7;30,6;29;20,1;18,1;57;49;52;197;4,2;1,6;
2023/01/09;1600 UTC;0;950,8;951,6;950,8;2955,2;29,7;19,1;30,5;27,7;20,3;17,7;59;50;53;99;8,1;4,5;
2023/01/09;1700 UTC;0;949,9;950,8;949,8;4877,7;30,9;16,9;31,6;29,8;19,7;15,8;54;39;43;119;8,1;2,2;
2023/01/09;1800 UTC;1,6;949,4;950,2;949,4;1579;26,3;20,5;30,9;24,9;21,5;16,9;78;43;70;189;10,2;2,9;
2023/01/09;1900 UTC;;;;;;;;;;;;;;;;;;
2023/01/09;2000 UTC;;;;;;;;;;;;;;;;;;
2023/01/09;2100 UTC;;;;;;;;;;;;;;;;;;
2023/01/09;2200 UTC;;;;;;;;;;;;;;;;;;
2023/01/09;2300 UTC;;;;;;;;;;;;;;;;;;
2023/01/10;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/10;0100 UTC;0;952,1;952,1;951,8;;25;19,8;25,3;24,8;20,6;19,8;77;71;73;121;2,3;,8;
2023/01/10;0200 UTC;0;952;952,1;951,9;;24,8;19,1;25,3;24,5;19,8;19;73;69;71;135;2,5;,1;
